idExpansao,idJogo,nome,ano_lancamento
1,83,"Artorias of the Abyss",2012
2,92,"Crown of the Sunken King",2014
3,92,"Crown of the Sunken King",2014
4,92,"Crown of the Old Iron King",2014
5,92,"Crown of the Old Iron King",2014
6,92,"Crown of the Old Iron King",2014
7,92,"Crown of the Ivory King",2014
8,92,"Crown of the Ivory King",2014
9,92,"Crown of the Ivory King",2014
10,100,"The Old Hunters",2015
11,101,"Ashes of Ariandel",2016
12,101,"Ashes of Ariandel",2016
13,101,"Ashes of Ariandel",2016
14,101,"The Ringed City",2017
15,101,"The Ringed City",2017
16,101,"The Ringed City",2017
17,109,"Shadow of the Erdtree",2024
18,109,"Shadow of the Erdtree",2024
19,109,"Shadow of the Erdtree",2024
20,109,"Shadow of the Erdtree",2024
21,109,"Shadow of the Erdtree",2024
22,109,"Shadow of the Erdtree",2024
23,751,Tribunal,2002
24,751,Bloodmoon,2003
25,751,Bloodmoon,2003
26,757,"Knights of the Nine",2006
27,757,"Knights of the Nine",2006
28,757,"Knights of the Nine",2006
29,757,"Shivering Isles",2007
30,757,"Shivering Isles",2007
31,757,"Shivering Isles",2007
32,760,"Operation: Anchorage",2009
33,760,"Operation: Anchorage",2009
34,760,"Operation: Anchorage",2009
35,760,"The Pitt",2009
36,760,"The Pitt",2009
37,760,"The Pitt",2009
38,760,"Broken Steel",2009
39,760,"Broken Steel",2009
40,760,"Broken Steel",2009
41,760,"Point Lookout",2009
42,760,"Point Lookout",2009
43,760,"Point Lookout",2009
44,760,"Mothership Zeta",2009
45,760,"Mothership Zeta",2009
46,760,"Mothership Zeta",2009
47,763,Dawnguard,2012
48,763,Dawnguard,2012
49,763,Dawnguard,2012
50,763,Hearthfire,2012
51,763,Hearthfire,2012
52,763,Hearthfire,2012
53,763,Dragonborn,2012
54,763,Dragonborn,2012
55,763,Dragonborn,2012
56,775,Automatron,2016
57,775,Automatron,2016
58,775,Automatron,2016
59,775,"Wasteland Workshop",2016
60,775,"Wasteland Workshop",2016
61,775,"Wasteland Workshop",2016
62,775,"Far Harbor",2016
63,775,"Far Harbor",2016
64,775,"Far Harbor",2016
65,775,"Contraptions Workshop",2016
66,775,"Contraptions Workshop",2016
67,775,"Contraptions Workshop",2016
68,775,"Vault-Tec Workshop",2016
69,775,"Vault-Tec Workshop",2016
70,775,"Vault-Tec Workshop",2016
71,775,Nuka-World,2016
72,775,Nuka-World,2016
73,775,Nuka-World,2016
74,789,"The Pitt[51]",2020
75,789,"The Pitt[51]",2020
76,789,"The Pitt[51]",2020
77,789,"Steel Reign[52]",2020
78,789,"Steel Reign[52]",2020
79,789,"Steel Reign[52]",2020
80,789,"Steel Dawn[53]",2020
81,789,"Steel Dawn[53]",2020
82,789,"Steel Dawn[53]",2020
83,789,Wastelanders[54],2020
84,789,Wastelanders[54],2020
85,789,Wastelanders[54],2020
86,795,"Shattered Space",2024
87,795,"Shattered Space",2024
