idPlataforma,nome
1,PlayStation
2,PlayStation
3,PlayStation
4,PlayStation
5,PlayStation
6,PlayStation
7,PlayStation
8,PlayStation
9,PlayStation
10,PlayStation
11,Dreamcast
12,PlayStation
13,"PlayStation 2"
14,"PlayStation 2"
15,"PlayStation 2"
16,"PlayStation 2"
17,"PlayStation 2"
18,"PlayStation 2"
19,"PlayStation 2"
20,"PlayStation 2"
21,"PlayStation 2"
22,"PlayStation 2"
23,"PlayStation 2"
24,"PlayStation 2"
25,"PlayStation 2"
26,"PlayStation 2"
27," PlayStation Portable"
28,"PlayStation 2"
29," PlayStation Portable"
30,GameCube
31,Xbox
32,Xbox
33,"PlayStation 2"
34," PlayStation Portable"
35,Xbox
36,GameCube
37,"PlayStation 2"
38,Xbox
39,"PlayStation 2"
40,"PlayStation 2"
41,"PlayStation 2"
42,"PlayStation 2"
43,"PlayStation 2"
44,"PlayStation 2"
45,"PlayStation 2"
46,"PlayStation Portable"
47," PlayStation 2"
48,"PlayStation Portable"
49," PlayStation 2"
50,Xbox
51,"PlayStation 2"
52,"PlayStation 2"
53,"PlayStation 2"
54," PlayStation Portable"
55,"PlayStation 2"
56," PlayStation Portable"
57,"Xbox 360"
58," PlayStation 3"
59,"PlayStation 2"
60,"Xbox 360"
61,"PlayStation Portable"
62,"PlayStation Portable"
63,"PlayStation 3"
64," Xbox 360"
65,"PlayStation 3"
66," Xbox 360"
67,"Nintendo DS"
68,"Nintendo DS"
69,"PlayStation 2"
70,"PlayStation 3"
71," Xbox 360"
72,"Xbox 360"
73,"Nintendo DS"
74,"Xbox 360"
75," Windows"
76,"PlayStation 3"
77,"PlayStation 3"
78,"PlayStation 3"
79,"Nintendo DS"
80,"PlayStation 3"
81,"PlayStation Portable"
82,"PlayStation Portable"
83,"PlayStation 3"
84," Xbox 360"
85," Windows"
86,"PlayStation 3"
87," Xbox 360"
88,"PlayStation 3"
89,"Xbox 360"
90,"PlayStation 3"
91," Xbox 360"
92,"PlayStation 3"
93," Xbox 360"
94," Windows"
95,"PlayStation 3"
96," PlayStation 4"
97," Windows"
98," Xbox 360"
99," Xbox One"
100,"PlayStation 4"
101,"PlayStation 4"
102," Xbox One"
103," Windows"
104,"PlayStation 4 (PlayStation VR)"
105,"PlayStation 4"
106," Windows"
107," Xbox One"
108," Stadia"
109,"PlayStation 4"
110," PlayStation 5"
111," Windows"
112," Xbox One"
113," Xbox Series X/S"
114," Nintendo Switch 2"
115,"PlayStation 4"
116," PlayStation 5"
117," Windows"
118," Xbox One"
119," Xbox Series X/S"
120,"PlayStation 4"
121," PlayStation 5"
122," Windows"
123," Xbox One"
124," Xbox Series X/S"
125,"Nintendo Switch 2"
126,Windows
127,"PlayStation 2"
128," Xbox"
129,"PlayStation 2"
130," Windows"
131," Xbox"
132,"PlayStation 3"
133," Windows"
134," Xbox 360"
135,"PlayStation 3"
136," Windows"
137," Xbox 360"
138,"Nintendo Switch"
139," PlayStation 3"
140," PlayStation 4"
141," PlayStation 5"
142," Windows"
143," Xbox 360"
144,Android
145," iOS"
146," Nintendo Switch"
147," PlayStation 4"
148," Windows"
149," Xbox One"
150,"PlayStation 4"
151," PlayStation 5"
152," Windows"
153," Xbox One"
154," Xbox Series X/S"
155,"Nintendo Switch"
156," PlayStation 4"
157," PlayStation 5"
158," Windows"
159," Xbox One"
160," Xbox Series X/S"
161,"PlayStation 4"
162," Windows"
163,Windows
164,"PlayStation 4"
165," Windows"
166," Xbox One"
167,Android
168," iOS"
169," Nintendo Switch[48]"
170,Windows
171," Xbox Series X/S"
172,Android
173,"[49] iOS[50]"
174,"PlayStation 5"
175," Windows"
176," Xbox Series X/S"
177,TBA
