idJogo,idPublisher,ano
1,1,1994
2,5,1995
2,6,1995
4,7,1996
5,8,1997
6,7,1997
7,10,1998
8,10,1998
9,10,1999
10,1,1999
11,1,1999
12,1,1999
13,16,2000
13,17,2000
15,16,2000
15,17,2000
17,16,2000
17,17,2000
19,16,2000
19,23,2000
21,16,2001
21,25,2001
23,10,2001
24,16,2001
24,25,2001
26,16,2002
26,25,2002
30,33,2002
31,34,2002
32,35,2002
33,10,2003
35,1,2003
36,33,2003
37,1,2003
38,35,2003
39,16,2004
39,43,2004
41,10,2004
42,16,2004
42,43,2004
44,16,2004
44,48,2004
46,16,2004
46,48,2004
50,1,2004
51,1,2005
52,55,2005
53,16,2005
53,48,2005
57,34,2006
59,55,2006
60,35,2006
61,1,2006
62,1,2006
63,48,2006
63,66,2006
67,1,2007
68,1,2007
69,55,2007
70,34,2008
72,1,2008
73,76,2009
74,77,2009
76,79,2009
76,80,2009
76,81,2009
79,1,2009
80,55,2010
81,84,2010
82,85,2011
83,85,2011
86,85,2012
88,85,2012
89,84,2012
90,85,2013
92,95,2014
95,95,2015
100,8,2015
101,104,2016
104,107,2018
105,33,2019
109,104,2022
115,104,2023
120,104,2025
125,76,2026
