Key,Value
,
Native name,株式会社フロム・ソフトウェア
Romanized name,Kabushiki gaisha furomu sofutowea
Company type,Subsidiary (kabushiki gaisha)
Industry,Video games
Founded,"November 1, 1986; 38 years ago"
Founder,Naotoshi Zin
Headquarters,"Tokyo, Japan"
Key people,Hidetaka Miyazaki(Representative director and president)
Products,King's FieldArmored CoreDemon's SoulsDark SoulsBloodborneSekiro: Shadows Die TwiceElden Ring
Owner,Kadokawa Corporation (70%)Sixjoy Hong Kong (16%)Sony Interactive Entertainment (14%)
Number of employees,423 (June 2024)
Website,FromSoftware
